,Pin,Address,City,Township,Property Classification,Square Footage (Land),Neighborhood,Taxcode,Next Scheduled Reassessment,Description,Residence Type,Use,Exterior Construction,Full Baths,Half Baths,Basement1,Attic,Central Air,Number of Fireplaces,Garage,Age,Building Square Footage,Assessment Phase,Homeowner_2021,Senior_2021,Senior Freeze_2021,Homeowner_2020,Senior_2020,Senior Freeze_2020,Homeowner_2019,Senior_2019,Senior Freeze_2019,Homeowner_2018,Senior_2018,Senior Freeze_2018,Apartments,Risk,Property Value,Bill Returned,Prior Possibly Unpaid,Tax Due
2,20-09-308-019-0000,5253 S HALSTED ST,CHICAGO,Lake,212,3125,92,72102,2024,"Two to six apartments, up to 62 years",Two Story,Multi Family,Masonry,4,1,Partial and Unfinished,Full and Unfinished,No,0,None,122,2812,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,4,moderate,138660,Yes,Yes,3202.13
3,20-09-317-006-0000,5311 S EMERALD AVE,CHICAGO,Lake,211,3150,92,72102,2024,"Two to six apartments, over 62 years",One Story,Multi Family,Frame,2,0,Full and Apartment,Full and Living Area,No,0,2 car detached,135,1386,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,118890,Yes,Yes,2745.67
4,20-16-101-026-0000,5623 S EMERALD AVE,CHICAGO,Lake,202,3125,92,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,120,693,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,68480,No,Yes,1528.75
5,20-16-102-033-0000,5611 S UNION AVE,CHICAGO,Lake,241,3125,92,72001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,20310,No,Yes,408.03
6,20-16-113-011-0000,5723 S EMERALD AVE,CHICAGO,Lake,211,3025,92,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,1,0,None,None,No,0,None,120,1280,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,moderate,77620,Yes,Yes,1103.57
7,20-16-114-009-0000,5721 S UNION AVE,CHICAGO,Lake,203,3125,92,72001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,Full and Unfinished,No,0,None,127,1035,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,moderate,76130,Yes,Yes,1010.49
8,20-16-114-038-0000,5734 S LOWE AVE,CHICAGO,Lake,234,3125,92,72001,2024,"Split level residence with a lower level below grade, all ages, all sizes",Multi-Level,Single Family,Frame/Masonry,1,1,Partial and Rec Room,None,No,0,None,46,950,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,92290,No,Yes,2060.39
9,20-16-122-011-0000,5833 S UNION AVE,CHICAGO,Lake,202,3500,92,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,Full and Living Area,No,0,1 car detached,138,774,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,66660,No,Yes,1488.17
10,20-16-122-015-0000,5845 S UNION AVE,CHICAGO,Lake,211,3250,92,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,None,No,1,2 car detached,130,1680,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,90350,No,Yes,2086.5
11,20-16-309-008-0000,641 W 60TH ST,CHICAGO,Lake,211,4399,130,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,None,No,1,1 car detached,130,1830,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,54950,No,No,1254.67
12,20-16-313-039-1011,501 W 60TH PL P-2,CHICAGO,Lake,299,7871,92,72082,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,112,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5680,No,Yes,127.81
13,20-16-313-039-1015,503 W 60TH PL P-6,CHICAGO,Lake,299,7871,92,72082,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,112,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5680,Yes,Yes,127.81
14,20-16-317-008-0000,433 W 61ST ST,CHICAGO,Lake,241,4114,92,72082,2024,Vacant land under common ownership with adjacent residence,Condo,Condo,Other,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,26740,No,Yes,537.21
15,20-15-118-022-1041,5747 S CALUMET AVE P1,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,Yes,Yes,108.31
16,20-15-118-022-1045,5747 S CALUMET AVE P5,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,No,Yes,108.31
17,20-15-118-022-1055,5747 S CALUMET AVE P15,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,No,Yes,108.31
18,20-15-118-022-1076,5747 S CALUMET AVE P36,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,No,Yes,108.31
19,20-15-118-027-1011,5739 S CALUMET AVE P5,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
20,20-15-118-027-1016,5739 S CALUMET AVE P10,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
21,20-15-118-027-1017,5739 S CALUMET AVE P11,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
22,20-15-118-027-1019,5739 S CALUMET AVE P13,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
